scorer,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000,DLC_dlcrnetms5_DLC_ratJan24shuffle1_5000
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2
bodyparts,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e,top,top,top,body,body,body,tail,tail,tail,tail-m,tail-m,tail-m,tail-e,tail-e,tail-e
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,,,1.0,843.444,563.907,0.5260000228881836,860.81,476.489,0.8059999942779541,908.094,387.412,0.49300000071525574,,,1.0,,,,,,,,,,,,,,,
1,,,0.609000027179718,843.572,563.907,0.5080000162124634,867.707,478.598,0.8259999752044678,908.127,403.408,0.6470000147819519,,,1.0,,,,,,,,,,,,,,,
2,,,1.0,843.796,563.931,0.5289999842643738,867.729,478.598,0.8389999866485596,908.41,403.538,0.6380000114440918,,,1.0,,,,,,,,,,,,,,,
3,843.6,683.308,0.46799999475479126,844.047,563.947,0.5419999957084656,867.752,478.598,0.8320000171661377,908.41,403.538,0.6539999842643738,,,1.0,,,,,,,,,,,,,,,
4,,,1.0,844.391,572.01,0.515999972820282,867.729,478.589,0.8199999928474426,908.41,403.538,0.5860000252723694,,,1.0,,,,,,,,,,,,,,,
5,851.981,676.447,0.5789999961853027,850.75,579.68,0.5519999861717224,867.729,478.589,0.8230000138282776,900.168,403.538,0.625,,,1.0,,,,,,,,,,,,,,,
6,875.742,684.523,0.4690000116825104,851.349,580.078,0.6010000109672546,867.653,478.589,0.8209999799728394,900.065,403.538,0.6359999775886536,,,1.0,,,,,,,,,,,,,,,
